V1
E0
M: 90.13, 109.56, 111.66, 92.59, 90, 98.45, 94.12, 90
M: 90.5, 109.99, 111.48, 92.26, 90, 97.82, 94.7, 90
M: 90.86, 110.38, 111.27, 91.92, 90, 97.18, 95.3, 90
M: 91.22, 110.73, 111.01, 91.58, 90, 96.55, 95.92, 90
M: 91.57, 111.03, 110.72, 91.23, 90, 95.92, 96.55, 90
M: 91.92, 111.29, 110.38, 90.87, 90, 95.3, 97.18, 90
M: 92.25, 111.51, 110, 90.5, 90, 94.7, 97.82, 90
M: 92.58, 111.69, 109.58, 90.13, 90, 94.12, 98.45, 90
M: 92.91, 111.84, 109.11, 89.76, 90, 93.57, 99.08, 90
M: 93.22, 111.95, 108.6, 89.37, 90, 93.04, 99.7, 90
M: 93.53, 112.02, 108.05, 88.99, 90, 92.54, 100.3, 90
M: 93.83, 112.07, 107.45, 88.6, 90, 92.09, 100.88, 90
M: 94.11, 112.09, 106.83, 88.2, 90, 91.66, 101.43, 90
M: 94.4, 112.08, 106.17, 87.8, 90, 91.29, 101.96, 90
M: 94.67, 112.05, 105.48, 87.4, 90, 90.95, 102.46, 90
M: 94.93, 112, 104.76, 86.99, 90, 90.67, 102.91, 90
M: 95.18, 111.94, 104.01, 86.58, 90, 90.43, 103.34, 90
M: 95.42, 111.86, 103.25, 86.16, 90, 90.24, 103.71, 90
M: 95.66, 111.76, 102.46, 85.75, 90, 90.11, 104.05, 90
M: 95.88, 111.66, 101.65, 85.33, 90, 90.03, 104.33, 90
M: 96.09, 111.54, 100.83, 84.91, 90, 90, 104.57, 90
M: 96.29, 111.42, 100, 84.49, 90, 90, 104.76, 90
M: 96.48, 111.29, 99.16, 84.06, 90, 90, 104.89, 90
M: 96.67, 111.14, 98.31, 83.64, 90, 90, 104.97, 90
M: 96.83, 111, 97.46, 83.22, 90, 90, 105, 90
M: 96.99, 110.84, 96.6, 82.79, 90, 90, 105, 90
M: 97.14, 110.67, 95.75, 82.37, 90, 90, 104.97, 90
M: 97.28, 110.49, 94.9, 81.94, 90, 90, 104.89, 90
M: 97.41, 110.3, 94.06, 81.52, 90, 90, 104.76, 90
M: 97.53, 110.1, 93.22, 81.1, 90, 90, 104.57, 90
M: 97.64, 109.88, 92.4, 80.68, 89.97, 90, 104.33, 90
M: 97.74, 109.66, 91.6, 80.26, 89.89, 90, 104.05, 90
M: 97.83, 109.43, 90.81, 79.84, 89.76, 90, 103.71, 90
M: 97.9, 109.19, 90.04, 79.43, 89.57, 90, 103.34, 90
M: 97.96, 108.93, 89.29, 79.02, 89.33, 90, 102.91, 90
M: 98.01, 108.67, 88.57, 78.61, 89.05, 90, 102.46, 90
M: 98.04, 108.4, 87.88, 78.21, 88.71, 90, 101.96, 90
M: 98.04, 108.12, 87.22, 77.81, 88.34, 90, 101.43, 90
M: 98.02, 107.83, 86.59, 77.41, 87.91, 90, 100.88, 90
M: 97.98, 107.53, 85.99, 77.02, 87.46, 90, 100.3, 90
M: 97.9, 107.23, 85.43, 76.63, 86.96, 90, 99.7, 90
M: 97.8, 106.91, 84.92, 76.25, 86.43, 90, 99.08, 90
M: 97.66, 106.59, 84.44, 75.87, 85.88, 90, 98.45, 90
M: 97.48, 106.26, 84.01, 75.5, 85.3, 90, 97.82, 90
M: 97.27, 105.92, 83.62, 75.14, 84.7, 90, 97.18, 90
M: 97.01, 105.58, 83.27, 74.78, 84.08, 90, 96.55, 90
M: 96.72, 105.23, 82.97, 74.43, 83.45, 90, 95.92, 90
M: 96.38, 104.87, 82.71, 74.08, 82.82, 90, 95.3, 90
M: 96, 104.5, 82.49, 73.75, 82.18, 90, 94.7, 90
M: 95.58, 104.13, 82.31, 73.42, 81.55, 90, 94.12, 90
M: 95.11, 103.76, 82.16, 73.09, 80.92, 90, 93.57, 90
M: 94.6, 103.37, 82.05, 72.78, 80.3, 90, 93.04, 90
M: 94.05, 102.99, 81.98, 72.47, 79.7, 90, 92.54, 90
M: 93.45, 102.6, 81.93, 72.17, 79.12, 90, 92.09, 90
M: 92.83, 102.2, 81.91, 71.89, 78.57, 90, 91.66, 90
M: 92.17, 101.8, 81.92, 71.6, 78.04, 90, 91.29, 90
M: 91.48, 101.4, 81.95, 71.33, 77.54, 90, 90.95, 90
M: 90.76, 100.99, 82, 71.07, 77.09, 90, 90.67, 90
M: 90.01, 100.58, 82.06, 70.82, 76.66, 90, 90.43, 90
M: 89.25, 100.16, 82.14, 70.58, 76.29, 90, 90.24, 90
M: 88.46, 99.75, 82.24, 70.34, 75.95, 90, 90.11, 90
M: 87.65, 99.33, 82.34, 70.12, 75.67, 90, 90.03, 90
M: 86.83, 98.91, 82.46, 69.91, 75.43, 90, 90, 90
M: 86, 98.49, 82.58, 69.71, 75.24, 90, 90, 90
M: 85.16, 98.06, 82.71, 69.52, 75.11, 90, 90, 90
M: 84.31, 97.64, 82.86, 69.33, 75.03, 90, 90, 90
M: 83.46, 97.22, 83, 69.17, 75, 90, 90, 90
M: 82.6, 96.79, 83.16, 69.01, 75, 90, 90, 90
M: 81.75, 96.37, 83.33, 68.86, 75.03, 90, 90, 90
M: 80.9, 95.94, 83.51, 68.72, 75.11, 90, 90, 90
M: 80.06, 95.52, 83.7, 68.59, 75.24, 90, 90, 90
M: 79.22, 95.1, 83.9, 68.47, 75.43, 90, 90, 90
M: 78.4, 94.68, 84.12, 68.36, 75.67, 90, 90, 89.97
